,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
51,0,74,3,2,1,7.0,acept,not furnished,650.0,1600.0,250.0,21.0,2521.0
53,1,64,3,2,1,7.0,acept,not furnished,522.0,1400.0,65.0,18.0,2005.0
54,1,105,3,2,2,1.0,acept,furnished,1544.0,7800.0,488.0,99.0,9931.0
55,1,50,1,2,1,10.0,acept,furnished,1050.0,5900.0,259.0,75.0,7284.0
57,1,50,2,1,1,6.0,acept,furnished,585.0,2000.0,49.0,26.0,2660.0
59,1,130,3,2,1,8.0,not acept,furnished,1200.0,7500.0,417.0,96.0,9213.0
64,1,20,1,1,0,0.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
65,0,140,3,2,2,15.0,not acept,not furnished,998.0,2100.0,283.0,27.0,3408.0
66,1,22,1,1,0,0.0,not acept,not furnished,250.0,1080.0,14.0,14.0,1358.0
67,1,345,2,3,2,4.0,not acept,not furnished,3655.0,12000.0,783.0,153.0,16590.0
69,1,35,1,1,1,2.0,not acept,furnished,550.0,3250.0,30.0,42.0,3872.0
70,0,72,2,2,1,2.0,acept,not furnished,500.0,1200.0,97.0,16.0,1813.0
71,1,60,1,1,2,2.0,not acept,not furnished,3398.0,1900.0,288.0,25.0,5611.0
73,1,83,3,2,1,9.0,not acept,furnished,805.0,3300.0,80.0,42.0,4227.0
74,1,50,1,1,0,1.0,acept,not furnished,519.0,1550.0,28.0,20.0,2117.0
75,1,38,1,1,1,14.0,not acept,furnished,1620.0,3020.0,279.0,39.0,4958.0
76,1,140,3,3,2,2.0,acept,not furnished,1300.0,2800.0,292.0,36.0,4428.0
77,0,62,2,1,1,3.0,acept,not furnished,485.0,980.0,48.0,13.0,1526.0
78,1,70,1,1,0,2.0,acept,furnished,1500.0,4000.0,284.0,51.0,5835.0
79,0,55,1,1,0,14.0,acept,not furnished,600.0,1100.0,60.0,14.0,1774.0
81,1,85,2,2,1,6.0,acept,not furnished,1250.0,1738.0,261.0,23.0,3272.0
82,1,134,3,3,3,11.0,not acept,not furnished,1655.0,8000.0,380.0,102.0,10140.0
83,1,200,3,2,2,19.0,acept,not furnished,2573.0,10000.0,1121.0,127.0,13820.0
85,1,46,1,1,2,16.0,acept,furnished,2210.0,6220.0,255.0,79.0,8764.0
86,1,20,1,1,0,4.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
87,1,58,2,2,1,5.0,not acept,furnished,1000.0,4500.0,144.0,58.0,5702.0
88,1,96,3,2,3,4.0,acept,not furnished,1024.0,2350.0,313.0,30.0,3717.0
89,1,190,3,3,3,6.0,acept,not furnished,3000.0,13000.0,84.0,165.0,16250.0
90,1,87,3,2,4,14.0,acept,not furnished,800.0,2000.0,67.0,26.0,2893.0
91,1,42,1,1,0,5.0,acept,not furnished,350.0,2400.0,94.0,31.0,2875.0
92,1,145,3,3,1,10.0,acept,furnished,1380.0,11000.0,375.0,140.0,12900.0
93,1,250,4,6,4,12.0,not acept,not furnished,3000.0,14500.0,875.0,184.0,18560.0
94,1,90,2,1,1,1.0,acept,not furnished,1000.0,3000.0,50.0,39.0,4089.0
97,1,80,2,2,2,6.0,acept,furnished,1581.0,8800.0,112.0,112.0,10610.0
101,0,126,3,3,2,1.0,acept,not furnished,780.0,3800.0,167.0,49.0,4796.0
103,1,29,1,1,1,20.0,acept,furnished,700.0,2700.0,84.0,35.0,3519.0
104,1,59,2,1,1,24.0,acept,not furnished,514.0,2450.0,138.0,32.0,3134.0
105,1,200,2,4,4,4.0,acept,not furnished,2450.0,7800.0,1417.0,99.0,11770.0
106,1,74,3,2,1,7.0,acept,not furnished,577.0,2196.0,100.0,28.0,2901.0
107,1,290,4,5,2,6.0,acept,not furnished,4300.0,10000.0,875.0,127.0,15300.0
108,1,172,3,4,3,1.0,acept,not furnished,1596.0,8000.0,820.0,102.0,10520.0
109,1,25,1,1,0,5.0,not acept,furnished,270.0,2600.0,67.0,33.0,2970.0
115,1,115,2,3,2,8.0,acept,not furnished,1380.0,12000.0,790.0,153.0,14320.0
117,1,76,2,1,1,12.0,not acept,furnished,906.0,4250.0,217.0,54.0,5427.0
118,0,150,4,5,2,1.0,acept,not furnished,1100.0,2980.0,360.0,38.0,4478.0
119,1,130,3,2,1,8.0,acept,not furnished,2400.0,5500.0,209.0,70.0,8179.0
120,0,64,2,1,1,0.0,acept,not furnished,441.0,730.0,18.0,10.0,1199.0
121,1,55,2,2,1,2.0,acept,not furnished,420.0,1300.0,50.0,17.0,1787.0
123,1,120,2,3,2,20.0,acept,not furnished,2000.0,7000.0,180.0,89.0,9269.0
124,0,236,3,4,4,10.0,acept,not furnished,1600.0,11000.0,440.0,140.0,13180.0
130,1,185,3,3,3,20.0,acept,not furnished,2670.0,5600.0,907.0,71.0,9248.0
132,0,119,3,2,2,7.0,acept,not furnished,1650.0,1200.0,212.0,16.0,3078.0
133,1,57,2,2,2,16.0,acept,not furnished,510.0,1690.0,11.0,22.0,2233.0
134,1,65,2,1,1,1.0,acept,not furnished,100.0,1400.0,84.0,18.0,1602.0
136,0,51,1,2,1,16.0,not acept,not furnished,703.0,2100.0,150.0,27.0,2980.0
141,1,70,2,1,1,6.0,acept,not furnished,660.0,3800.0,45.0,49.0,4554.0
142,1,169,4,6,3,7.0,acept,furnished,2560.0,10000.0,734.0,127.0,13420.0
143,1,33,1,1,0,1.0,not acept,not furnished,338.0,1100.0,63.0,14.0,1515.0
144,1,225,4,4,3,7.0,acept,not furnished,2800.0,5000.0,1267.0,64.0,9131.0
147,1,70,3,2,2,3.0,not acept,not furnished,750.0,1500.0,148.0,20.0,2418.0
149,1,260,4,5,4,9.0,acept,furnished,2014.0,3300.0,1000.0,42.0,6356.0
150,1,243,3,3,4,10.0,acept,not furnished,2678.0,5500.0,1950.0,70.0,10200.0
152,1,240,3,4,3,9.0,acept,not furnished,3211.0,5100.0,1102.0,65.0,9478.0
153,0,45,1,1,1,4.0,acept,not furnished,700.0,870.0,46.0,12.0,1628.0
154,1,65,1,1,1,2.0,acept,furnished,680.0,5000.0,14.0,64.0,5758.0
155,1,47,1,1,0,4.0,not acept,not furnished,100.0,1000.0,76.0,13.0,1189.0
156,1,60,2,1,0,2.0,acept,furnished,589.0,3300.0,65.0,42.0,3996.0
160,1,240,3,4,3,3.0,acept,furnished,3600.0,4950.0,1000.0,63.0,9613.0
164,1,198,2,2,2,13.0,acept,not furnished,1700.0,5500.0,320.0,70.0,7590.0
165,1,62,2,1,1,13.0,acept,not furnished,543.0,2200.0,59.0,28.0,2830.0
166,1,60,2,2,1,4.0,acept,not furnished,632.0,2806.0,25.0,36.0,3499.0
167,1,187,3,2,3,0.0,not acept,furnished,1700.0,8400.0,584.0,127.0,10810.0
168,1,25,1,1,0,23.0,acept,not furnished,432.0,2200.0,45.0,28.0,2705.0
171,1,67,2,2,1,17.0,acept,not furnished,740.0,2200.0,170.0,28.0,3138.0
173,1,118,3,2,2,7.0,acept,furnished,1880.0,8500.0,434.0,108.0,10920.0
174,1,43,1,1,1,2.0,acept,not furnished,850.0,2430.0,172.0,31.0,3483.0
175,1,195,2,3,1,10.0,acept,not furnished,1500.0,6000.0,334.0,77.0,7911.0
176,1,141,3,4,3,7.0,not acept,not furnished,1646.0,7500.0,735.0,96.0,9977.0
179,1,280,3,4,2,3.0,not acept,not furnished,4000.0,6000.0,1059.0,77.0,11140.0
180,1,170,3,2,2,5.0,not acept,not furnished,2199.0,5000.0,423.0,64.0,7686.0
182,0,35,1,1,1,7.0,acept,not furnished,392.0,1100.0,13.0,14.0,1519.0
184,0,68,1,1,1,10.0,not acept,furnished,600.0,1000.0,48.0,13.0,1661.0
185,1,80,3,5,2,4.0,not acept,not furnished,3460.0,12000.0,1000.0,153.0,16610.0
186,1,190,3,2,1,6.0,acept,furnished,3040.0,8000.0,556.0,102.0,11700.0
188,1,112,3,3,2,12.0,acept,furnished,1100.0,2670.0,188.0,34.0,3992.0
189,1,145,3,4,3,1.0,not acept,not furnished,1200.0,6000.0,750.0,77.0,8027.0
190,0,47,1,1,1,8.0,acept,not furnished,560.0,1100.0,46.0,14.0,1720.0
191,1,128,3,2,1,3.0,acept,furnished,1094.0,4529.0,242.0,58.0,5923.0
196,1,35,1,1,1,9.0,not acept,furnished,1050.0,2600.0,317.0,33.0,4000.0
197,1,107,2,2,2,18.0,acept,furnished,1800.0,12800.0,417.0,163.0,15180.0
199,1,70,2,1,0,1.0,not acept,not furnished,350.0,1050.0,116.0,14.0,1530.0
200,1,20,1,1,0,3.0,not acept,furnished,150.0,3142.0,67.0,40.0,3399.0
201,1,130,3,2,2,6.0,acept,not furnished,1100.0,3500.0,209.0,45.0,4854.0
202,1,120,3,2,3,16.0,acept,not furnished,1400.0,2000.0,292.0,26.0,3718.0
203,1,110,3,3,2,2.0,acept,furnished,1000.0,3800.0,192.0,49.0,5041.0
206,1,97,3,2,2,1.0,acept,not furnished,730.0,3000.0,303.0,39.0,4072.0
207,1,84,4,1,3,5.0,not acept,not furnished,1914.0,6000.0,804.0,77.0,8795.0
211,1,110,3,3,3,4.0,acept,not furnished,1195.0,2350.0,670.0,30.0,4245.0
212,1,196,4,4,0,11.0,acept,not furnished,2450.0,6000.0,1458.0,77.0,9985.0
213,1,33,1,1,1,12.0,not acept,not furnished,552.0,4150.0,95.0,53.0,4850.0
217,1,184,3,4,3,12.0,acept,not furnished,2700.0,1400.0,692.0,18.0,4810.0
218,1,117,2,2,1,11.0,not acept,furnished,630.0,7130.0,150.0,91.0,8001.0
220,0,57,1,1,1,2.0,acept,not furnished,605.0,800.0,66.0,11.0,1482.0
222,1,180,4,3,1,4.0,acept,furnished,1572.0,5000.0,240.0,64.0,6876.0
223,1,250,3,4,2,16.0,acept,not furnished,3300.0,6000.0,517.0,77.0,9894.0
225,1,360,3,5,4,22.0,acept,not furnished,2398.0,3135.0,1467.0,40.0,7040.0
227,1,138,3,4,3,2.0,not acept,not furnished,790.0,7000.0,690.0,89.0,8569.0
230,1,118,3,2,1,11.0,not acept,not furnished,1116.0,4775.0,185.0,61.0,6137.0
232,1,52,2,1,1,7.0,acept,not furnished,540.0,1300.0,63.0,17.0,1920.0
234,1,160,3,3,2,5.0,acept,furnished,1650.0,1500.0,419.0,20.0,3589.0
235,0,209,3,3,2,0.0,not acept,not furnished,593.0,2550.0,237.0,39.0,3419.0
237,1,117,3,3,3,10.0,acept,not furnished,2280.0,2300.0,700.0,30.0,5310.0
240,1,128,3,3,2,10.0,acept,not furnished,2600.0,3800.0,605.0,49.0,7054.0
241,1,140,3,2,2,2.0,acept,not furnished,1480.0,3700.0,167.0,47.0,5394.0
243,1,280,4,4,5,9.0,acept,not furnished,3000.0,3200.0,875.0,41.0,7116.0
245,1,48,1,1,1,8.0,acept,furnished,740.0,2700.0,137.0,35.0,3612.0
246,1,148,3,2,2,2.0,not acept,furnished,2830.0,9000.0,267.0,115.0,12210.0
251,0,98,3,2,1,1.0,acept,not furnished,727.0,1233.0,84.0,16.0,2060.0
252,0,51,1,1,0,12.0,not acept,furnished,707.0,1300.0,45.0,17.0,2069.0
254,1,187,4,5,3,5.0,acept,not furnished,3912.0,5300.0,1424.0,68.0,10700.0
255,1,62,3,2,1,6.0,not acept,furnished,1550.0,4800.0,167.0,61.0,6578.0
256,1,130,2,2,1,0.0,acept,not furnished,1100.0,4300.0,100.0,55.0,5555.0
259,1,86,1,2,1,13.0,acept,furnished,1800.0,6500.0,375.0,83.0,8758.0
260,1,72,2,2,1,6.0,acept,not furnished,1100.0,5431.0,334.0,69.0,6934.0
264,0,74,3,2,1,10.0,acept,not furnished,700.0,1800.0,120.0,23.0,2643.0
266,0,80,3,2,2,2.0,acept,not furnished,750.0,1450.0,110.0,19.0,2329.0
267,1,130,3,2,1,1.0,acept,not furnished,1200.0,4500.0,100.0,58.0,5858.0
268,1,64,1,2,2,15.0,acept,not furnished,691.0,2100.0,92.0,27.0,2910.0
269,1,50,1,1,1,9.0,not acept,not furnished,1170.0,2730.0,9.0,35.0,3944.0
271,1,70,1,1,2,9.0,acept,furnished,2150.0,7000.0,542.0,89.0,9781.0
272,0,41,1,1,1,11.0,acept,not furnished,390.0,1950.0,65.0,14.0,2419.0
282,1,177,4,5,4,12.0,acept,not furnished,1500.0,9200.0,959.0,117.0,11780.0
287,1,66,3,2,1,9.0,acept,not furnished,708.0,2179.0,13.0,28.0,2928.0
292,1,260,3,3,3,8.0,acept,furnished,2210.0,5000.0,842.0,64.0,8116.0
293,1,78,2,1,1,7.0,acept,not furnished,645.0,2000.0,35.0,26.0,2706.0
298,1,153,2,2,1,15.0,acept,furnished,1500.0,11900.0,350.0,151.0,13900.0
299,1,64,2,2,2,5.0,acept,not furnished,830.0,1600.0,205.0,21.0,2656.0
302,1,170,3,2,1,14.0,acept,furnished,1700.0,4500.0,85.0,58.0,6343.0
303,1,120,2,2,2,15.0,acept,furnished,1043.0,4880.0,264.0,62.0,6249.0
310,1,42,1,1,1,0.0,acept,furnished,450.0,2000.0,88.0,26.0,2564.0
312,1,106,2,3,2,18.0,not acept,furnished,950.0,5000.0,250.0,64.0,6264.0
313,1,103,3,2,1,7.0,acept,not furnished,944.0,4400.0,126.0,56.0,5526.0
314,1,360,3,5,3,13.0,acept,not furnished,4300.0,8500.0,1500.0,108.0,14410.0
316,1,164,4,4,3,1.0,acept,not furnished,1840.0,6000.0,550.0,77.0,8467.0
318,1,110,2,2,1,8.0,acept,furnished,1285.0,4348.0,196.0,56.0,5885.0
319,1,136,4,3,1,3.0,acept,not furnished,1800.0,4200.0,312.0,54.0,6366.0
320,0,65,1,1,1,9.0,acept,not furnished,380.0,1200.0,83.0,16.0,1679.0
321,1,62,2,1,1,8.0,not acept,not furnished,735.0,1345.0,35.0,18.0,2133.0
322,0,163,3,5,3,20.0,acept,not furnished,1450.0,9800.0,350.0,125.0,11730.0
324,1,50,1,1,1,1.0,acept,not furnished,795.0,3500.0,213.0,45.0,4553.0
325,1,79,3,2,2,6.0,acept,furnished,900.0,3000.0,209.0,39.0,4148.0
326,1,250,3,3,2,7.0,not acept,furnished,1400.0,5380.0,234.0,69.0,7083.0
330,1,72,2,2,1,7.0,acept,not furnished,520.0,1800.0,159.0,23.0,2502.0
331,1,35,1,1,1,17.0,acept,furnished,1280.0,4000.0,200.0,51.0,5531.0
332,1,250,3,4,4,16.0,acept,not furnished,3421.0,10700.0,1224.0,136.0,15480.0
333,0,85,3,1,1,9.0,not acept,not furnished,598.0,1110.0,63.0,15.0,1786.0
334,0,60,1,1,1,14.0,acept,not furnished,583.0,1100.0,49.0,14.0,1746.0
335,0,47,2,1,1,0.0,acept,not furnished,255.0,1290.0,33.0,17.0,1595.0
336,1,104,3,3,2,3.0,not acept,furnished,915.0,9000.0,254.0,115.0,10280.0
339,1,53,1,1,1,3.0,acept,not furnished,694.0,4500.0,200.0,58.0,5452.0
341,1,40,1,1,1,14.0,acept,furnished,480.0,4200.0,75.0,54.0,4809.0
343,1,340,4,6,4,8.0,acept,furnished,3100.0,2800.0,1667.0,36.0,7603.0
344,0,134,3,3,2,7.0,not acept,not furnished,1000.0,2500.0,177.0,32.0,3709.0
347,1,260,4,5,2,1.0,acept,furnished,2600.0,8000.0,417.0,102.0,11120.0
349,1,92,2,1,1,12.0,not acept,not furnished,2750.0,2930.0,448.0,38.0,6166.0
350,1,92,3,3,1,3.0,acept,furnished,750.0,4250.0,21.0,54.0,5075.0
351,1,155,3,4,2,14.0,acept,not furnished,1400.0,13100.0,409.0,166.0,15080.0
355,1,326,3,4,4,12.0,acept,not furnished,2808.0,6500.0,1605.0,83.0,11000.0
356,1,236,4,5,4,7.0,acept,not furnished,3500.0,10000.0,1834.0,127.0,15460.0
357,0,119,3,1,1,5.0,acept,not furnished,926.0,1200.0,100.0,16.0,2242.0
358,1,23,1,1,0,23.0,acept,not furnished,383.0,2050.0,40.0,26.0,2499.0
359,1,260,2,4,4,19.0,not acept,not furnished,2000.0,8000.0,667.0,102.0,10770.0
361,1,87,1,1,2,14.0,acept,furnished,870.0,7900.0,150.0,101.0,9021.0
363,1,210,3,4,4,11.0,acept,furnished,2000.0,15000.0,1000.0,191.0,18190.0
365,1,155,3,2,3,4.0,acept,furnished,2600.0,11700.0,667.0,149.0,15120.0
367,0,70,3,2,2,4.0,acept,not furnished,500.0,1800.0,78.0,23.0,2401.0
368,1,68,1,2,1,11.0,acept,not furnished,1200.0,4500.0,100.0,58.0,5858.0
369,0,220,3,5,3,4.0,not acept,furnished,2000.0,7900.0,417.0,101.0,10420.0
370,0,91,3,2,2,12.0,acept,not furnished,700.0,2250.0,175.0,29.0,3154.0
372,0,48,2,1,0,4.0,acept,not furnished,288.0,950.0,45.0,13.0,1296.0
374,1,60,1,1,1,15.0,acept,furnished,1000.0,5500.0,200.0,70.0,6770.0
377,1,100,3,2,1,8.0,acept,not furnished,1100.0,1400.0,291.0,18.0,2809.0
379,1,151,3,4,3,14.0,not acept,furnished,1700.0,6800.0,475.0,87.0,9062.0
380,1,150,3,4,3,12.0,acept,furnished,2092.0,7608.0,730.0,97.0,10530.0
381,1,57,2,1,1,7.0,acept,not furnished,570.0,1500.0,67.0,20.0,2157.0
382,1,30,1,1,1,4.0,not acept,furnished,1787.0,1200.0,144.0,16.0,3147.0
383,0,53,1,1,1,8.0,acept,furnished,1350.0,3110.0,85.0,40.0,4585.0
385,1,78,2,2,2,8.0,acept,furnished,1400.0,5800.0,334.0,74.0,7608.0
386,1,20,1,1,0,1.0,not acept,furnished,150.0,3142.0,67.0,40.0,3399.0
388,1,155,3,3,2,2.0,acept,furnished,2300.0,12000.0,700.0,153.0,15150.0
389,1,118,3,2,4,1.0,acept,not furnished,850.0,2250.0,334.0,29.0,3463.0
390,0,235,4,4,3,13.0,acept,not furnished,3450.0,5500.0,541.0,70.0,9561.0
391,1,400,4,4,4,9.0,acept,not furnished,4700.0,9000.0,1125.0,115.0,14940.0
392,1,80,2,2,1,6.0,not acept,not furnished,1015.0,3500.0,117.0,45.0,4677.0
393,1,50,1,1,0,2.0,not acept,furnished,710.0,3100.0,85.0,12.0,3907.0
394,0,55,2,2,1,9.0,acept,not furnished,337.0,2500.0,86.0,32.0,2955.0
397,1,325,4,3,2,3.0,acept,not furnished,4500.0,8500.0,1111.0,108.0,14220.0
398,1,200,3,3,2,7.0,not acept,furnished,2500.0,6000.0,125.0,77.0,8702.0
399,1,58,2,2,1,5.0,acept,furnished,790.0,5000.0,192.0,64.0,6046.0
401,1,159,3,2,0,5.0,acept,not furnished,1774.0,4507.0,444.0,19.0,6744.0
403,1,88,3,1,2,5.0,acept,not furnished,685.0,1500.0,35.0,20.0,2240.0
405,1,246,4,5,4,12.0,not acept,not furnished,2200.0,10000.0,750.0,127.0,13080.0
410,0,157,3,5,3,1.0,acept,not furnished,2300.0,7000.0,442.0,89.0,9831.0
415,1,189,4,2,2,4.0,acept,not furnished,1970.0,8000.0,559.0,102.0,10630.0
417,1,180,3,2,2,2.0,acept,not furnished,2500.0,7000.0,1200.0,89.0,10790.0
418,1,128,3,3,2,1.0,acept,not furnished,1090.0,7000.0,500.0,89.0,8679.0
419,1,60,2,2,0,0.0,acept,not furnished,518.0,1300.0,170.0,10.0,1998.0
420,1,74,3,2,1,7.0,acept,not furnished,982.0,1710.0,48.0,22.0,2762.0
421,1,80,1,1,1,10.0,acept,not furnished,1800.0,2500.0,180.0,32.0,4512.0
423,1,70,3,2,1,3.0,acept,not furnished,799.0,1900.0,182.0,25.0,2906.0
424,1,113,3,2,2,2.0,acept,not furnished,1300.0,4800.0,250.0,61.0,6411.0
426,1,300,4,2,2,1.0,acept,furnished,3000.0,6500.0,1091.0,83.0,10670.0
427,1,140,2,3,1,3.0,acept,furnished,1306.0,5000.0,250.0,64.0,6620.0
428,1,300,4,5,1,8.0,acept,furnished,3700.0,8550.0,400.0,109.0,12760.0
431,0,110,2,2,0,18.0,acept,furnished,960.0,4200.0,218.0,54.0,5432.0
434,1,136,2,4,2,7.0,acept,not furnished,1540.0,4800.0,242.0,61.0,6643.0
435,1,56,2,1,1,3.0,acept,not furnished,1091.0,1700.0,72.0,22.0,2885.0
436,1,20,1,1,0,3.0,acept,furnished,402.0,2800.0,68.0,36.0,3306.0
437,1,115,3,2,2,8.0,acept,not furnished,1900.0,2900.0,400.0,37.0,5237.0
438,1,140,2,2,1,3.0,not acept,not furnished,2000.0,12500.0,279.0,159.0,14940.0
439,1,64,2,1,1,2.0,acept,not furnished,500.0,1400.0,11.0,18.0,1929.0
440,1,60,2,1,1,15.0,acept,furnished,990.0,2500.0,42.0,32.0,3564.0
441,1,132,3,2,1,11.0,acept,not furnished,1477.0,2800.0,45.0,36.0,4358.0
442,1,210,4,3,3,11.0,acept,not furnished,1250.0,4000.0,750.0,51.0,6051.0
445,1,108,2,4,2,7.0,acept,not furnished,1289.0,4430.0,522.0,57.0,6298.0
446,1,75,2,2,1,4.0,acept,not furnished,926.0,3005.0,203.0,10.0,4144.0
449,1,129,3,2,3,5.0,not acept,furnished,1260.0,2950.0,450.0,38.0,4698.0
450,1,158,4,4,3,5.0,acept,not furnished,2100.0,6600.0,375.0,84.0,9159.0
451,1,100,3,3,2,1.0,acept,not furnished,1200.0,3248.0,384.0,42.0,4874.0
455,1,196,3,4,2,1.0,not acept,not furnished,2200.0,3300.0,559.0,42.0,6101.0
456,1,39,1,1,1,5.0,acept,not furnished,460.0,3300.0,157.0,42.0,3959.0
457,0,46,2,1,1,3.0,acept,not furnished,250.0,970.0,42.0,13.0,1275.0
464,1,98,3,2,2,1.0,acept,not furnished,1400.0,1760.0,383.0,23.0,3566.0
465,1,159,2,2,1,8.0,acept,furnished,1236.0,4200.0,251.0,54.0,5741.0
466,1,115,3,5,2,10.0,acept,not furnished,1830.0,7000.0,495.0,89.0,9414.0
467,1,400,3,3,1,3.0,acept,not furnished,3000.0,11000.0,142.0,140.0,14280.0
468,0,60,2,1,1,9.0,not acept,not furnished,498.0,1317.0,25.0,17.0,1857.0
469,1,220,3,4,3,11.0,acept,furnished,3300.0,8000.0,1000.0,102.0,12400.0
470,1,67,2,1,1,4.0,acept,not furnished,1500.0,2099.0,250.0,27.0,3876.0
471,1,165,3,4,3,7.0,acept,not furnished,1700.0,4500.0,573.0,58.0,6831.0
473,1,55,1,2,1,2.0,acept,not furnished,1317.0,2576.0,230.0,10.0,4133.0
476,1,73,2,2,1,13.0,acept,not furnished,700.0,1250.0,150.0,16.0,2116.0
478,1,35,1,1,1,7.0,acept,not furnished,380.0,2300.0,100.0,30.0,2810.0
480,0,350,4,3,4,0.0,not acept,not furnished,500.0,6000.0,500.0,91.0,7091.0
485,1,95,2,1,1,15.0,acept,not furnished,900.0,3000.0,67.0,39.0,4006.0
486,1,310,3,4,3,8.0,acept,not furnished,2400.0,4500.0,900.0,58.0,7858.0
491,1,58,1,1,1,17.0,acept,not furnished,610.0,1600.0,89.0,21.0,2320.0
494,1,98,3,2,1,9.0,acept,not furnished,1350.0,5500.0,200.0,70.0,7120.0
496,1,224,4,4,3,2.0,acept,furnished,2900.0,9350.0,917.0,119.0,13290.0
497,0,50,1,1,1,3.0,acept,not furnished,392.0,800.0,320.0,11.0,1523.0
498,1,250,3,4,3,8.0,acept,not furnished,2700.0,7000.0,1167.0,89.0,10960.0
499,1,100,2,2,1,6.0,acept,not furnished,1050.0,4000.0,240.0,51.0,5341.0
501,0,114,3,2,1,4.0,acept,not furnished,967.0,1400.0,176.0,18.0,2561.0
502,0,67,2,1,1,2.0,acept,not furnished,500.0,1230.0,42.0,16.0,1788.0
503,1,160,4,3,2,9.0,acept,furnished,2800.0,10330.0,286.0,131.0,13550.0
504,1,130,2,2,1,17.0,acept,not furnished,993.0,5600.0,75.0,71.0,6739.0
505,1,114,1,1,1,6.0,acept,not furnished,987.0,2800.0,208.0,36.0,4031.0
509,1,60,2,2,1,3.0,acept,furnished,900.0,5700.0,212.0,73.0,6885.0
511,1,145,4,4,3,14.0,acept,not furnished,1663.0,4500.0,584.0,58.0,6805.0
512,1,127,2,3,2,2.0,acept,not furnished,1910.0,6900.0,500.0,88.0,9398.0
513,1,330,4,5,4,13.0,acept,not furnished,2870.0,10000.0,1119.0,127.0,14120.0
514,0,180,4,3,1,11.0,not acept,not furnished,1500.0,1800.0,252.0,23.0,3575.0
515,1,120,4,3,2,13.0,acept,furnished,1250.0,3500.0,209.0,45.0,5004.0
516,1,40,1,1,1,10.0,not acept,furnished,2100.0,2200.0,223.0,28.0,4551.0
518,0,130,3,2,2,4.0,acept,furnished,1150.0,2800.0,184.0,36.0,4170.0
519,1,80,2,1,1,2.0,acept,not furnished,1257.0,2950.0,195.0,38.0,4440.0
520,1,112,3,4,3,9.0,acept,not furnished,1480.0,2800.0,413.0,36.0,4729.0
522,1,184,4,3,3,2.0,acept,furnished,1200.0,4500.0,750.0,58.0,6508.0
524,1,40,1,1,1,6.0,not acept,furnished,1300.0,3000.0,248.0,39.0,4587.0
525,1,65,2,2,1,7.0,acept,not furnished,630.0,1800.0,25.0,23.0,2478.0
526,1,146,3,2,2,14.0,acept,furnished,1400.0,3500.0,600.0,45.0,5545.0
527,0,60,2,1,1,3.0,acept,not furnished,200.0,1299.0,84.0,17.0,1600.0
528,1,170,3,2,2,4.0,acept,furnished,1970.0,9000.0,900.0,115.0,11990.0
